C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_female_preprocessed.csv,C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_male_preprocessed.csv
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
Mother,a3a,0.06997521275792074,-,1
Father,a3b,0.09236610116961454,-,1
Step or foster mother,a3c,2.419239205323612,-,1
Step or foster father,a3d,1.1869782261689532,-,1
Grandparent(s) or other relatives,a3e,0.5490001681189126,+,1
Siblings (including half; step or foster siblings),a3f,2.5193618657897714,+,1
My spouse or partner (including boyfriend/girlfriend),a3g,0.43221853458591364,-,1
My child or children,a3h,0.061594924730573125,+,1
Parents (or relatives) of my spouse or partner,a3i,0.7427943663666672,-,1
I live in a foster home or children's home,a3j,,,1
I live alone,a3k,,,1
Someone or somewhere else: please state____,a3l,0.011906129131765659,-,1
I am a school student,a4a,8.007077995179776,+,1
I am a student in college,a4g,0.35672565932602196,+,1
I am attending training in technical/vocational course,a4h,2.7257933059538857,-,1
I do paid employment,a4c,8.065951309891377,-,1
I do unpaid work,a4d,0.21718785516661687,-,1
I am looking for work,a4e,6.240605202194418,-,1
I help out at home,a4f,10.752449687740896,+,1
I am currently in a vacation,a4i,1.715471684291662,-,1
Schooling,a5,8.300198093080247,+,1
null,b1,61.2701041130395,-,15
Age,b3,0.2648712583472578,-,1
At school or college,b6a,2.457363746596736,+,1
At home,b6b,17.80425282100421,+,1
In the home of friends or relatives,b6c,3.5546544653122742,+,1
In a public place (for example; in libraries; cafés; computer shops),b6d,20.025973261245195,-,1
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,0.37850107800083527,-,1
When I am somewhere by myself,b6f,16.190882783547558,+,1
PisoNet,b6g,26.246568260056193,-,1
A mobile phone that is not a smartphone,b7a,0.8587984189744231,-,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,15.717949122198135,+,1
A desktop computer,b7c,13.067766460131963,-,1
A laptop or notebook computer,b7d,0.07540339534380042,+,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,4.044793806841629,-,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,37.19385730640721,-,1
A mobile phone that is not a smartphone,b8a,2.5946729985883286,+,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,0.5656658604885253,-,1
A desktop computer,b8c,3.6475113333980653,-,1
A laptop or notebook computer,b8d,1.505793323333217,+,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,1.128264709599843,+,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,0.7249229227742983,+,1
I use a postpaid plan (i.e.; with contracts),b9a,0.002947023984088697,+,1
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,31.243842125128083,+,1
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,5.749902656742763,-,1
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,39.8146241434618,+,1
null,b10a,3.8033420861020746,+,1
My parents,b10b1,2.988815747169247,-,1
My siblings,b10b2,2.05722347433766,+,1
Relatives,b10b3,0.07011360334490921,+,1
Friends who are the same age as I am,b10c1,0.36320491908568847,-,1
Friends who are older than me,b10c2,10.339388771217852,-,1
My teacher,b10d,0.20628830640375562,-,1
Others,b10e,0.9191593060946034,-,1
Hours,b11,14.077591520354087,-,11
Hours,b12,35.1706103129347,-,11
null,c1,1.1683934221223211,+,1
null,c2,7.617263772868196,-,1
I learned something new by searching online,c4a,1.5546526376847285,+,1
I used the internet for schoolwork,c4c,8.780487580665254,+,1
I looked for information about work or study opportunities,c4b,0.9055847794238907,-,1
Checked maps,c4c1,1.4688148353801957,-,1
I looked for information about the place I want to go visit/eat,c4c2,4.2619947018412665,+,1
I looked for resources or events about my local neighbourhood,c4d,0.29617867857631014,-,1
I got involved online in a local organisation or charity,c4f,5.945632514234667,-,1
I used the internet to help somebody else,c4g,0.6449097850364045,-,1
I used the internet to talk to people from places or backgrounds different from mine,c4e,4.549601475258024,-,1
I looked for the news online,c4h,0.46725406315670376,+,1
I discussed political or social problems with other people online,c4i,0.01077777062573097,+,1
I got involved online in a campaign or protest,c4j,11.91647543062861,-,1
I signed a petition online,c4k,2.9911764755551893,-,1
I used the internet to join a civic; religious or political group,c4l,5.447266364458938,-,1
I posted videos or music created by someone else,c4o,4.191269423659088,-,1
I created my own video or music and uploaded it to share,c4m,1.1221096837944664,-,1
I created a blog or story or website online,c4n,3.2761425872429766,-,1
I created my own artwork; designs and illustrations and uploaded them on the internet,c4o1,0.0028943364435522053,-,1
I used instant messaging [insert local examples e.g. Viber; WhatsApp],c4r,0.8896424928025317,-,1
I visited a social network site (e.g.; Facebook [add local examples]),c4p,15.514533756434904,+,1
I helped someone else who needed or wanted to go online,c4t,4.318565383288837,-,1
I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime),c4q,3.794737167242994,+,1
I commented on the updates that friends or family have put online,c4u,13.2409392485843,+,1
I re-posted or shared a social media post online,c4t1,9.847253287514711,+,1
I showed my friends or family something that I saw online,c4v,1.3812506161197406,+,1
I visited a chatroom to meet new people [insert local examples],c4w,19.375049858373412,-,1
I watched video clips (e.g. on YouTube [insert local examples]),c4x,5.279956518272919,-,1
I played online games alone,c4y,147.75362990578796,-,1
I played games with other people online,c4z,199.10769908836141,-,1
I listened to music online (by downloading or streaming),c4bb,1.3334517964899673,-,1
I watched my favourite TV shows,c4cc,0.46113330172707223,+,1
I joined a fan site (of a celebrity or popular band),c4cc1,5.132154194850365,+,1
I posted photos or comments online (e.g. on Facebook or a blog),c4gg,16.787373026512284,+,1
I looked for health information for myself or someone I know,c4ee,1.2406002707538333,-,1
I participated in a site where people share my interests or hobbies,c4ff,6.191760931713469,-,1
I browsed for things to buy,c4hh,0.0734139561347246,-,1
I checked out what things cost by looking online,c4hh1,0.9432607153229455,+,1
I have sold an item online,c4hh2,8.478214806347815,-,1
