Dataset 1,Dataset 2,,,,,,,,,,,
C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\male_p.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\female_p.csv,,,,,,,,,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom,N1,N2,P1(a),P1(b),P1(etc),P2(a),P2(b),P2(etc)
Gender,a1,1882,-,1,[858.0],[1024.0],1,0,0,0,1,0
Birthdate,a2,2.837988134,-,2,[858.0],[1024.0],0.331002331,0.337995338,0.331002331,0.294921875,0.357421875,0.34765625
Mother,a3a,0.05783179,+,1,[842.0],[1002.0],0.155581948,0.844418052,0,0.159680639,0.840319361,0
Father,a3b,0.0386304,-,1,[842.0],[1002.0],0.2304038,0.7695962,0,0.226546906,0.773453094,0
Step or foster mother,a3c,3.316470981,+,1,[842.0],[1001.0],0.970308789,0.029691211,0,0.983016983,0.016983017,0
Step or foster father,a3d,2.835147878,+,1,[842.0],[1001.0],0.972684086,0.027315914,0,0.984015984,0.015984016,0
Grandparent(s) or other relatives,a3e,0.054658787,-,1,[842.0],[1001.0],0.698337292,0.301662708,0,0.693306693,0.306693307,0
Siblings (including half; step or foster siblings),a3f,1.862134186,-,1,[842.0],[1002.0],0.306413302,0.693586698,0,0.27744511,0.72255489,0
My spouse or partner (including boyfriend/girlfriend),a3g,0.706822082,+,1,[842.0],[1001.0],0.986935867,0.013064133,0,0.991008991,0.008991009,0
My child or children,a3h,0.138645058,-,1,[842.0],[1001.0],0.978622328,0.021377672,0,0.976023976,0.023976024,0
Parents (or relatives) of my spouse or partner,a3i,0.123233963,+,1,[842.0],[1001.0],0.970308789,0.029691211,0,0.973026973,0.026973027,0
I live in a foster home or children's home,a3j,,,1,[842.0],[1001.0],1,0,0,0.997002997,0.002997003,0
I live alone,a3k,,,1,[842.0],[1001.0],1,0,0,0.998001998,0.001998002,0
Someone or somewhere else: please state____,a3l,1.85E-06,-,1,[842.0],[1001.0],0.956057007,0.043942993,0,0.956043956,0.043956044,0
