Dataset 1,Dataset 2,,,,,,,,,,,
C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\nation_p.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\sultan_kudarat_p.csv,,,,,,,,,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom,N1,N2,P1(a),P1(b),P1(etc),P2(a),P2(b),P2(etc)
Gender,a1,0.268456964,+,1,[1882.0],[74.0],0.455897981,0.544102019,0,0.486486486,0.513513514,0
Birthdate,a2,1.09916031,+,2,[1882.0],[74.0],0.311370882,0.348565356,0.340063762,0.310810811,0.297297297,0.391891892
Mother,a3a,1.805255568,+,1,[1844.0],[74.0],0.157809111,0.842190889,0,0.216216216,0.783783784,0
Father,a3b,1.234636462,+,1,[1844.0],[74.0],0.228308026,0.771691974,0,0.283783784,0.716216216,0
Step or foster mother,a3c,,,1,[1843.0],[74.0],0.977211069,0.022788931,0,0.986486486,0.013513514,0
Step or foster father,a3d,,,1,[1843.0],[74.0],0.97883885,0.02116115,0,0.972972973,0.027027027,0
Grandparent(s) or other relatives,a3e,1.262009087,+,1,[1843.0],[74.0],0.695604992,0.304395008,0,0.756756757,0.243243243,0
Siblings (including half; step or foster siblings),a3f,0.143860819,-,1,[1844.0],[74.0],0.290672451,0.709327549,0,0.27027027,0.72972973,0
My spouse or partner (including boyfriend/girlfriend),a3g,,,1,[1843.0],[74.0],0.989148128,0.010851872,0,0.959459459,0.040540541,0
My child or children,a3h,,,1,[1843.0],[74.0],0.977211069,0.022788931,0,0.986486486,0.013513514,0
Parents (or relatives) of my spouse or partner,a3i,,,1,[1843.0],[74.0],0.971785133,0.028214867,0,1,0,0
I live in a foster home or children's home,a3j,,,1,[1843.0],[74.0],0.998372219,0.001627781,0,1,0,0
I live alone,a3k,,,1,[1843.0],[74.0],0.998914813,0.001085187,0,1,0,0
Someone or somewhere else: please state____,a3l,,,1,[1843.0],[74.0],0.956049919,0.043950081,0,0.986486486,0.013513514,0
I am a school student,a4a,,,1,[1861.0],[74.0],0.050510478,0.949489522,0,0.108108108,0.891891892,0
I am a student in college,a4g,,,1,[1858.0],[74.0],0.988159311,0.011840689,0,0.986486486,0.013513514,0
I am attending training in technical/vocational course,a4h,,,1,[1858.0],[74.0],0.987082885,0.012917115,0,1,0,0
I do paid employment,a4c,,,1,[1858.0],[74.0],0.98277718,0.01722282,0,0.986486486,0.013513514,0
I do unpaid work,a4d,,,1,[1858.0],[74.0],0.987082885,0.012917115,0,0.945945946,0.054054054,0
I am looking for work,a4e,,,1,[1858.0],[74.0],0.990312164,0.009687836,0,0.972972973,0.027027027,0
I help out at home,a4f,2.112928223,-,1,[1858.0],[74.0],0.700753498,0.299246502,0,0.621621622,0.378378378,0
I am currently in a vacation,a4i,3.603937071,+,1,[1859.0],[74.0],0.889725659,0.110274341,0,0.959459459,0.040540541,0
Schooling,a5,,,3,[1850.0],[74.0],0.006486486,0.989189189,0.004324324,0.013513514,0.986486486,0
How old were you when you first used the internet?,b1,2.408176428,+,1,[1835.0],[73.0],0.819618529,0.180381471,0,0.890410959,0.109589041,0
Are you able to access the internet when you want to or need to?,b3,1.959503267,+,1,[1843.0],[73.0],0.08898535,0.91101465,0,0.136986301,0.863013699,0
At school or college,b6a,2.044359986,+,2,[1823.0],[73.0],0.712013165,0.278661547,0.009325288,0.780821918,0.219178082,0
At home,b6b,9.920809649,+,2,[1823.0],[73.0],0.49917718,0.493143171,0.007679649,0.684931507,0.315068493,0
In the home of friends or relatives,b6c,,,2,[1821.0],[73.0],0.723778144,0.273476112,0.002745744,0.753424658,0.246575342,0
In a public place (for example; in libraries; cafés; computer shops),b6d,3.933179276,+,2,[1816.0],[73.0],0.658590308,0.334801762,0.00660793,0.767123288,0.232876712,0
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,4.040533989,+,2,[1801.0],[73.0],0.865074958,0.127151582,0.007773459,0.945205479,0.054794521,0
When I am somewhere by myself,b6f,1.333212028,+,2,[1808.0],[72.0],0.683075221,0.308628319,0.00829646,0.736111111,0.263888889,0
PisoNet,b6g,5.338973861,+,2,[1806.0],[73.0],0.683277962,0.30841639,0.008305648,0.808219178,0.191780822,0
A mobile phone that is not a smartphone,b7a,2.847656982,+,2,[1800.0],[73.0],0.752222222,0.241666667,0.006111111,0.835616438,0.164383562,0
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,10.95746375,+,2,[1805.0],[72.0],0.539058172,0.456509695,0.004432133,0.736111111,0.263888889,0
A desktop computer,b7c,6.558443828,+,2,[1810.0],[73.0],0.681767956,0.312154696,0.006077348,0.821917808,0.178082192,0
A laptop or notebook computer,b7d,2.995421564,+,2,[1807.0],[73.0],0.814056447,0.176535695,0.009407858,0.890410959,0.109589041,0
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,5.855972638,+,2,[1804.0],[73.0],0.787694013,0.207317073,0.004988914,0.904109589,0.095890411,0
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,2.040907575,+,2,[1782.0],[73.0],0.865319865,0.122895623,0.011784512,0.917808219,0.082191781,0
A mobile phone that is not a smartphone,b8a,,,2,[441.0],[12.0],0.401360544,0.578231293,0.020408163,0.416666667,0.5,0.083333333
