a3a,1,0
0,16,3
1,21,5
2,11,2
*,*,*,*,*,*,*,*,*,*,*
a3b,1,0
0,14,5
1,18,8
2,11,2
*,*,*,*,*,*,*,*,*,*,*
a3c,1,0
0,0,19
1,0,26
2,1,12
*,*,*,*,*,*,*,*,*,*,*
a3d,1,0
0,0,19
1,0,26
2,0,13
*,*,*,*,*,*,*,*,*,*,*
a3e,1,0
0,5,14
1,7,19
2,4,9
*,*,*,*,*,*,*,*,*,*,*
a3f,1,0
0,13,6
1,20,6
2,10,3
*,*,*,*,*,*,*,*,*,*,*
a3g,1,0
0,0,19
1,0,26
2,0,13
*,*,*,*,*,*,*,*,*,*,*
a3h,1,0
0,0,19
1,1,25
2,0,13
*,*,*,*,*,*,*,*,*,*,*
a3i,1,0
0,0,19
1,1,25
2,1,12
*,*,*,*,*,*,*,*,*,*,*
a3j,1,0
0,0,19
1,0,26
2,0,13
*,*,*,*,*,*,*,*,*,*,*
a3k,1,0
0,0,19
1,0,26
2,0,13
*,*,*,*,*,*,*,*,*,*,*
a3l,1,0
0,1,18
1,3,23
2,2,11
*,*,*,*,*,*,*,*,*,*,*
a4a,1,0
0,19,0
1,26,0
2,14,0
*,*,*,*,*,*,*,*,*,*,*
a4g,1,0
0,0,19
1,0,26
2,0,14
*,*,*,*,*,*,*,*,*,*,*
a4h,1,0
0,0,19
1,1,25
2,0,14
*,*,*,*,*,*,*,*,*,*,*
a4c,1,0
0,0,19
1,0,26
2,0,14
*,*,*,*,*,*,*,*,*,*,*
a4d,1,0
0,0,19
1,0,26
2,0,14
*,*,*,*,*,*,*,*,*,*,*
a4e,1,0
0,0,19
1,0,26
2,0,14
*,*,*,*,*,*,*,*,*,*,*
a4f,1,0
0,1,18
1,1,25
2,5,9
*,*,*,*,*,*,*,*,*,*,*
a4i,1,0
0,0,19
1,1,25
2,0,14
*,*,*,*,*,*,*,*,*,*,*
a5,1,0
0,19,0
1,26,0
2,14,0
*,*,*,*,*,*,*,*,*,*,*
b1,11,10,13,12,15,14,17,16,1,3,5,4,7,6,9,8
0,4,6,0,0,0,0,0,0,0,0,0,0,1,1,6,0
1,5,9,5,3,0,0,0,0,0,0,0,0,0,0,2,0
2,4,0,4,1,2,1,0,0,0,0,0,0,0,0,1,0
*,*,*,*,*,*,*,*,*,*,*
b3,1,0
0,10,8
1,10,16
2,5,9
*,*,*,*,*,*,*,*,*,*,*
b6a,1,0
0,6,12
1,7,19
2,2,12
*,*,*,*,*,*,*,*,*,*,*
b6b,1,0
0,6,12
1,11,15
2,7,7
*,*,*,*,*,*,*,*,*,*,*
b6c,1,0
0,5,13
1,5,20
2,2,12
*,*,*,*,*,*,*,*,*,*,*
b6d,1,0
0,8,10
1,9,17
2,4,10
*,*,*,*,*,*,*,*,*,*,*
b6e,1,0
0,3,15
1,5,21
2,2,12
*,*,*,*,*,*,*,*,*,*,*
b6f,1,0
0,2,16
1,7,19
2,5,9
*,*,*,*,*,*,*,*,*,*,*
b6g,1,0
0,7,11
1,8,18
2,3,11
*,*,*,*,*,*,*,*,*,*,*
b7a,1,0
0,4,13
1,9,17
2,6,8
*,*,*,*,*,*,*,*,*,*,*
b7b,1,0
0,7,11
1,11,15
2,5,9
*,*,*,*,*,*,*,*,*,*,*
b7c,1,0
0,12,6
1,3,23
2,5,9
*,*,*,*,*,*,*,*,*,*,*
b7d,1,0
0,2,16
1,5,21
2,1,13
*,*,*,*,*,*,*,*,*,*,*
b7e,1,0
0,4,13
1,6,20
2,2,12
*,*,*,*,*,*,*,*,*,*,*
b7f,1,0
0,3,13
1,4,21
2,2,12
*,*,*,*,*,*,*,*,*,*,*
b8a,1,2
0,2,2
1,6,3
2,1,5
*,*,*,*,*,*,*,*,*,*,*
b8b,1,2
0,4,3
1,3,8
2,1,4
*,*,*,*,*,*,*,*,*,*,*
b8c,1,2
0,11,1
1,2,2
2,5,0
*,*,*,*,*,*,*,*,*,*,*
b8d,1,2
0,1,1
1,4,1
2,1,0
*,*,*,*,*,*,*,*,*,*,*
b8e,1,2
0,3,1
1,3,4
2,1,1
*,*,*,*,*,*,*,*,*,*,*
b8f,1,2
0,2,1
1,2,3
2,1,1
*,*,*,*,*,*,*,*,*,*,*
b9a,1,2
0,13,3
1,22,2
2,14,0
*,*,*,*,*,*,*,*,*,*,*
b9b,1,2
0,11,7
1,14,11
2,8,6
*,*,*,*,*,*,*,*,*,*,*
b9c,1,2
0,9,7
1,9,16
2,8,6
*,*,*,*,*,*,*,*,*,*,*
b9d,1,2
0,12,4
1,14,11
2,8,6
*,*,*,*,*,*,*,*,*,*,*
b10a,1,0
0,8,10
1,13,13
2,10,4
*,*,*,*,*,*,*,*,*,*,*
b10b1,1,0
0,4,5
1,4,9
2,0,3
*,*,*,*,*,*,*,*,*,*,*
b10b2,1,0
0,2,7
1,4,9
2,2,1
*,*,*,*,*,*,*,*,*,*,*
b10b3,1,0
0,1,8
1,4,9
2,1,2
*,*,*,*,*,*,*,*,*,*,*
b10c1,1,0
0,3,6
1,4,9
2,1,2
*,*,*,*,*,*,*,*,*,*,*
b10c2,1,0
0,1,8
1,1,12
2,1,2
*,*,*,*,*,*,*,*,*,*,*
b10d,1,0
0,0,9
1,0,13
2,0,3
*,*,*,*,*,*,*,*,*,*,*
b10e,1,0
0,0,9
1,1,12
2,0,3
*,*,*,*,*,*,*,*,*,*,*
b11,11,10,12,1,3,2,5,4,7,6,9,8
0,0,0,3,3,7,2,0,2,0,0,0,0
1,0,0,0,4,9,3,1,6,0,1,0,0
2,0,0,1,2,6,0,0,3,0,0,1,1
*,*,*,*,*,*,*,*,*,*,*
b12,11,10,12,1,3,2,5,4,7,6,9,8
0,0,0,1,4,8,2,1,2,0,0,0,0
1,0,0,0,7,7,0,4,3,2,2,0,0
2,1,0,0,2,2,1,1,4,0,1,2,0
*,*,*,*,*,*,*,*,*,*,*
c1,1,0
0,3,14
1,4,21
2,0,14
*,*,*,*,*,*,*,*,*,*,*
c2,1,0
0,7,11
1,7,18
2,6,8
*,*,*,*,*,*,*,*,*,*,*
c4a,1,0
0,7,10
1,8,15
2,3,11
*,*,*,*,*,*,*,*,*,*,*
c4c,1,0
0,8,9
1,11,13
2,6,8
*,*,*,*,*,*,*,*,*,*,*
c4b,1,0
0,3,13
1,5,18
2,6,7
*,*,*,*,*,*,*,*,*,*,*
c4c1,1,0
0,2,13
1,5,18
2,2,12
*,*,*,*,*,*,*,*,*,*,*
c4c2,1,0
0,2,14
1,1,23
2,4,10
*,*,*,*,*,*,*,*,*,*,*
c4d,1,0
0,3,13
1,3,20
2,3,11
*,*,*,*,*,*,*,*,*,*,*
c4f,1,0
0,1,15
1,1,22
2,2,12
*,*,*,*,*,*,*,*,*,*,*
c4g,1,0
0,3,13
1,3,19
2,2,12
*,*,*,*,*,*,*,*,*,*,*
c4e,1,0
0,6,11
1,1,22
2,3,11
*,*,*,*,*,*,*,*,*,*,*
c4h,1,0
0,4,13
1,3,21
2,5,9
*,*,*,*,*,*,*,*,*,*,*
c4i,1,0
0,1,14
1,1,22
2,2,12
*,*,*,*,*,*,*,*,*,*,*
c4j,1,0
0,2,14
1,0,23
2,1,13
*,*,*,*,*,*,*,*,*,*,*
c4k,1,0
0,0,15
1,0,24
2,0,14
*,*,*,*,*,*,*,*,*,*,*
c4l,1,0
0,1,15
1,1,22
2,3,10
*,*,*,*,*,*,*,*,*,*,*
c4o,1,0
0,1,16
1,1,23
2,4,10
*,*,*,*,*,*,*,*,*,*,*
c4m,1,0
0,1,14
1,2,22
2,1,13
*,*,*,*,*,*,*,*,*,*,*
c4n,1,0
0,0,15
1,0,23
2,1,13
*,*,*,*,*,*,*,*,*,*,*
c4o1,1,0
0,2,14
1,1,22
2,3,11
*,*,*,*,*,*,*,*,*,*,*
c4r,1,0
0,1,15
1,1,22
2,2,12
*,*,*,*,*,*,*,*,*,*,*
c4p,1,0
0,9,7
1,10,14
2,6,8
*,*,*,*,*,*,*,*,*,*,*
c4t,1,0
0,2,14
1,2,21
2,6,8
*,*,*,*,*,*,*,*,*,*,*
c4q,1,0
0,3,13
1,3,20
2,2,12
*,*,*,*,*,*,*,*,*,*,*
c4u,1,0
0,4,12
1,7,16
2,5,9
*,*,*,*,*,*,*,*,*,*,*
c4t1,1,0
0,5,11
1,2,22
2,3,11
*,*,*,*,*,*,*,*,*,*,*
c4v,1,0
0,4,12
1,4,20
2,3,10
*,*,*,*,*,*,*,*,*,*,*
c4w,1,0
0,1,15
1,0,23
2,1,13
*,*,*,*,*,*,*,*,*,*,*
c4x,1,0
0,9,8
1,9,16
2,7,7
*,*,*,*,*,*,*,*,*,*,*
c4y,1,0
0,5,13
1,10,15
2,4,8
*,*,*,*,*,*,*,*,*,*,*
c4z,1,0
0,4,14
1,9,15
2,2,10
*,*,*,*,*,*,*,*,*,*,*
c4bb,1,0
0,4,13
1,6,19
2,6,8
*,*,*,*,*,*,*,*,*,*,*
c4cc,1,0
0,15,3
1,20,6
