v,a9,Main language spoken at home
b,Group b
a,Group a
c,Group c
d,Group d
e,Group e
f,Group f
g,Group g
h,Group h
i,Group i
j,Group j
v,reg1,Region
l,Group l
a,Group a
b,Group b
c,Group c
d,Group d
e,Group e
f,Group f
g,Group g
h,Group h
i,Group i
j,Group j
k,Group k
m,Group m
n,Group n
o,Group o
p,Group p
q,Group q
r,Group r
v,prov1,Province
p,Group p
a,Group a
b,Group b
c,Group c
d,Group d
e,Group e
f,Group f
g,Group g
h,Group h
i,Group i
j,Group j
k,Group k
l,Group l
m,Group m
n,Group n
o,Group o
q,Group q
r,Group r
s,Group s
t,Group t
u,Group u
w,Group w
x,Group x
y,Group y
z,Group z
v,a1,Gender
a,Group a
b,Group b
v,a2,Birthdate
a,Group a
b,Group b
c,Group c
v,a3a,Mother
a,Group a
b,Group b
v,a3b,Father
a,Group a
b,Group b
v,a3c,Step or foster mother
a,Group a
b,Group b
v,a3d,Step or foster father
a,Group a
b,Group b
v,a3e,Grandparent(s) or other relatives
a,Group a
b,Group b
v,a3f,Siblings (including half; step or foster siblings)
a,Group a
b,Group b
v,a3g,My spouse or partner (including boyfriend/girlfriend)
a,Group a
b,Group b
v,a3h,My child or children
a,Group a
b,Group b
v,a3i,Parents (or relatives) of my spouse or partner
a,Group a
b,Group b
v,a3j,I live in a foster home or children's home
a,Group a
b,Group b
v,a3k,I live alone
a,Group a
b,Group b
v,a3l,Someone or somewhere else: please state____
a,Group a
b,Group b
v,a4a,I am a school student
a,Group a
b,Group b
v,a4g,I am a student in college
a,Group a
b,Group b
v,a4h,I am attending training in technical/vocational course
a,Group a
b,Group b
v,a4c,I do paid employment
a,Group a
b,Group b
v,a4d,I do unpaid work
a,Group a
b,Group b
v,a4e,I am looking for work
a,Group a
b,Group b
v,a4f,I help out at home
a,Group a
b,Group b
v,a4i,I am currently in a vacation
a,Group a
b,Group b
v,a5,Schooling
a,Group a
b,Group b
c,Group c
x,Group x
v,b1,How old were you when you first used the internet?
v,b3,Are you able to access the internet when you want to or need to?
a,Group a
b,Group b
v,b6a,At school or college
a,Group a
b,Group b
x,Group x
v,b6b,At home
a,Group a
b,Group b
x,Group x
v,b6c,In the home of friends or relatives
a,Group a
b,Group b
x,Group x
v,b6d,In a public place (for example; in libraries; cafés; computer shops)
a,Group a
b,Group b
x,Group x
v,b6e,When I am on my way somewhere (e.g. on the street; in a bus or car)
a,Group a
b,Group b
x,Group x
v,b6f,When I am somewhere by myself
a,Group a
b,Group b
x,Group x
v,b6g,PisoNet
a,Group a
b,Group b
x,Group x
v,b7a,A mobile phone that is not a smartphone
a,Group a
b,Group b
x,Group x
v,b7b,A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc]
a,Group a
b,Group b
x,Group x
v,b7c,A desktop computer
a,Group a
b,Group b
x,Group x
v,b7d,A laptop or notebook computer
a,Group a
b,Group b
x,Group x
v,b7e,A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc]
a,Group a
b,Group b
x,Group x
v,b7f,A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc]
a,Group a
b,Group b
x,Group x
v,b8a,A mobile phone that is not a smartphone
v,b8b,A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc]
v,b8c,A desktop computer
v,b8d,A laptop or notebook computer
v,b8e,A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc]
v,b8f,A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc]
v,b9a,I use a postpaid plan (i.e.; with contracts)
a,Group a
b,Group b
x,Group x
v,b9b,I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.)
a,Group a
b,Group b
x,Group x
v,b9c,I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet)
a,Group a
b,Group b
x,Group x
v,b9d,I use prepaid offers (e.g. GOSurf; GIGASurf; etc.)
a,Group a
b,Group b
x,Group x
v,b10a,Do you connect to the internet by yourself?
a,Group a
b,Group b
v,b10b1,My parents
v,b10b2,My siblings
v,b10b3,Relatives
v,b10c1,Friends who are the same age as I am
v,b10c2,Friends who are older than me
v,b10d,My teacher
v,b10e,Others
v,b11,About how long do you spend on the internet on an ordinary week day (school day or working day)?
v,b12,About how long do you spend on the internet on a day at the weekend?
v,c1,Do you usually have a good time or fun when you go online?
a,Group a
b,Group b
c,Group c
x,Group x
v,c2,What do you think about this sentence: ‘There are lots of things on the internet that are good for children of my age’?
a,Group a
b,Group b
x,Group x
v,c4a,I learned something new by searching online
a,Group a
b,Group b
x,Group x
v,c4c,I used the internet for schoolwork
a,Group a
b,Group b
x,Group x
v,c4b,I looked for information about work or study opportunities
a,Group a
b,Group b
x,Group x
v,c4c1,Checked maps
a,Group a
b,Group b
x,Group x
v,c4c2,I looked for information about the place I want to go visit/eat
a,Group a
b,Group b
x,Group x
v,c4d,I looked for resources or events about my local neighbourhood
a,Group a
b,Group b
x,Group x
v,c4f,I got involved online in a local organisation or charity
a,Group a
b,Group b
x,Group x
v,c4g,I used the internet to help somebody else
a,Group a
b,Group b
x,Group x
